Date,Title,Description
1900-03-14,Gold Standard Act passed,"Established gold as the only standard for redeeming paper money, stopping bimetallism (which had allowed silver in exchange for gold). It was signed by Pres McKinley. The Gold Standard Act confirmed the nation's commitment to the gold standard by assigning gold a specific dollar value (just over $20.67 per Troy ounce). This took place after McKinley sent a team to Europe to try to figure out a silver agreement with France and Great Britain. 1933 the US & Canada dropped the gold standard."
1900-11-06,McKinley reelected president,
1901-02-25,Congress passes Platt Amendment,"The Platt Amendment, an amendment to a U.S. army appropriations bill, est the terms under which the US would end its military occupation of Cuba & “leave the govt & control of the island of Cuba to its people.” The Platt Amendment laid down 8 conditions to which the Cuban Govt had to agree before the withdrawal of US forces and the transfer of sovereignty would begin."
1901-02-25,J.P. Morgan creates United States Steel Corp,"1 of the most powerful bankers of his era, he financed RxR's & helped organize U.S. Steel, General Electric & etc. In 1895, their firm was reorganized as J.P. Morgan & Company, a predecessor of the modern-day financial giant JPMorgan Chase. Morgan used his influence to help stabilize U.S. financial markets during several economic crises, including the panic of '07. However, he faced criticism that he had too much power & was accused of manipulating the nation’s financial system for his own gain"
1901-07-29,American Socialist Party formed,"a multi-tendency democratic-socialist political party in the US, by a merger between the 3 yr-old Social Democratic Party of America and disaffected elements of the Socialist Labor Party. it drew significant support from many different groups, including trade unionists, progressive social reformers, populist farmers, & immigrant communities. Its presidential candidate, Eugene V. Debs, while the party also elected 2 US Rep (Victor L. Berger and Meyer London) and dozens of st legs, 100s of mayors"
1901-09-06,McKinley assassinated; TR becomes president,"Pres McKinley is shot at the Pan American Exposition in Buffalo, NY. Anarchist Leon Czolgosz is arrested in connection with the attack. McKinley dies of complications from his bullet wounds. VP Roosevelt assumes the presidency. A funeral train carrying McKinley’s casket travels from Buffalo to the Capitol in Washington, DC, & finally to Ohio, where McKinley is buried. Czolgosz’s trial begins. 3 days later, the jury finds him guilty & sentenced to death."
1902-10-03,TR intervenes in anthracite coal strike,"The strike of 1900 was the prelude to a larger drama--the great anthracite coal strike of 1902. Restless miners demanded more pay and shorter hours, while the mine operators complained that profits were low, and that the union destroyed discipline. When the owners refused to negotiate with the union, miners appealed to President Roosevelt to call a special session of Congress. The operators, on the other hand, resented the Federal mediation which had brought about the shotgun agreement of 1900,"
1903-01-01,Souls of Black Folk,"W. E. B. Du Bois’s landmark book of essays, Souls of Black Folk, combined history and sociology with commentary on the experiences of African Americans in the United States. In 1905, Du Bois founded the Niagara Movement as an organized response to Booker T. Washington’s policies of accommodation and conciliation. The Niagara Movement aimed to counteract Washington’s influence over the black community and in its manifesto declared its intention to “claim for ourselves every single right that belo"
1903-11-19,Women's Trade Union League Formed,a U.S. org of both working class & more well-off women formed to support the efforts of women to organize labor unions & to eliminate sweatshop conditions. The WTUL played an important role in supporting the massive strikes in the first 2 decades of the twentieth century that established the Intn'l Ladies' Garment Workers' Union and Amalgamated Clothing Workers of America and in campaigning for women's suffrage among men and women workers. The WTUL was key in reforming women's working conditions
1903-12-17,Wright Bros. make 1st successful flight,Orville Wright piloted the first powered airplane 20 feet above a wind-swept beach in North Carolina. The flight lasted 12 seconds and covered 120 feet. Three more flights were made that day with Orville's brother Wilbur piloting the record flight lasting 59 seconds over a distance of 852 feet.
1904-01-01,Ida Tarbell writes about the History of Standard Oil,
1904-05-04,Panama Canal begins construction,"American construction began on the Panama Canal. It took ten years and $352 million dollars to complete. The canal opened in 1914. During the building of the canal, begun under the French in 1879, more than 26,000 workers, many West Indian, died from construction accidents and yellow fever and other diseases."
1904-11-08,TR is elected president,
1904-12-06,Roosevelt Corollary announced,"The corollary states that the US will intervene in conflicts between European Nations & Latin American countries to enforce legitimate claims of the European powers, rather than having the Europeans press their claims directly. U.S. Presidents cited the Roosevelt Corollary as justification for U.S. intervention in Cuba (1906–1909), Nicaragua (1909–1910, 1912–1925 and 1926–1933), Haiti (1915–1934), and the Dominican Republic (1916–1924)."
1905-01-01,Great Migration,"In the first decades of the twentieth century, African Americans left, in greater and greater numbers, the southern states where they had been subject to economic abuses and outright intimidation. The Great Migration, in which about half a million African Americans moved to the urban North from the rural South, began about 1905 and ended around 1930."
